type,date,name,code,close,pct_change,note
index,2026-08-07,中证消费,000932,12624.3,0.27,回填历史
index,2026-08-07,创业板指,399006,3610.28,2.69,盘中13:45
index,2026-08-07,创业板指,399006,3563.12,1.35,收盘20:00
index,2026-08-07,创业板指,399006,3563.12,1.35,回填历史
us_index,2026-08-07,美股道指DIA,DIA,539.62,+0.27,美股收盘(非交易日参考)
us_index,2026-08-07,美股道指DIA,DIA,539.62,0.27,美股收盘(回填历史)
index,2026-08-07,恒生指数,HSI,25575.37,0.18,盘中13:45
index,2026-08-07,恒生指数,HSI,25668.03,0.54,收盘20:00
index,2026-08-07,恒生指数,HSI,25668.03,0.54,回填历史
index,2026-08-07,恒生科技,HSTECH,4841.3,0.43,盘中13:45
index,2026-08-07,恒生科技,HSTECH,4858.29,0.78,收盘20:00
index,2026-08-07,恒生科技,HSTECH,4858.29,0.78,回填历史
us_index,2026-08-07,美股医疗ETF(IYH),IYH,70.0,1.1,美股收盘(回填历史)
us_index,2026-08-07,美股纳指100QQQ,QQQ,723.03,+1.17,美股收盘(非交易日参考)
us_index,2026-08-07,美股纳指100QQQ,QQQ,723.03,1.17,美股收盘(回填历史)
us_index,2026-08-07,美股医疗保健XLV,XLV,165.68,+0.75,美股收盘(非交易日参考)
us_index,2026-08-07,美股医疗保健XLV,XLV,165.68,+0.75,美股收盘(隔夜)
us_index,2026-08-07,美股医疗保健XLV,XLV,165.68,0.75,美股收盘(回填历史)
index,2026-08-07,十年国债收益率,十年国债收益率,1.7114,0,回填历史
index,2026-08-10,上证指数,000001,3948.77,0.22,盘中13:45
index,2026-08-10,上证指数,000001,3966.59,0.67,收盘20:00
index,2026-08-10,上证指数,000001,3966.59,0.67,回填历史
index,2026-08-10,中证消费,000932,12949.55,2.58,盘中13:45
index,2026-08-10,中证消费,000932,12939.66,2.5,收盘20:00
index,2026-08-10,中证消费,000932,12939.66,2.5,回填历史
index,2026-08-10,创业板指,399006,3495.0,-1.91,盘中13:45
index,2026-08-10,创业板指,399006,3537.21,-0.73,收盘20:00
index,2026-08-10,创业板指,399006,3537.21,-0.73,回填历史
us_index,2026-08-10,美股道指DIA,DIA,538.99,-0.12,美股收盘(隔夜)
us_index,2026-08-10,美股道指DIA,DIA,538.99,-0.12,美股收盘(回填历史)
index,2026-08-10,恒生指数,HSI,25821.08,0.6,盘中13:45
index,2026-08-10,恒生指数,HSI,25954.42,1.12,收盘20:00
index,2026-08-10,恒生指数,HSI,25937.49,1.05,回填历史
index,2026-08-10,恒生科技,HSTECH,4870.79,0.26,盘中13:45
index,2026-08-10,恒生科技,HSTECH,4924.72,1.37,收盘20:00
index,2026-08-10,恒生科技,HSTECH,4919.46,1.26,回填历史
us_index,2026-08-10,美股医疗ETF(IYH),IYH,71.14,+1.63,美股收盘(隔夜)
us_index,2026-08-10,美股医疗ETF(IYH),IYH,71.14,1.63,美股收盘(回填历史)
us_index,2026-08-10,美股纳指100QQQ,QQQ,720.87,-0.3,美股收盘(隔夜)
us_index,2026-08-10,美股纳指100QQQ,QQQ,720.87,-0.3,美股收盘(回填历史)
us_index,2026-08-10,美股医疗XLV,XLV,168.44,1.67,美股收盘(隔夜)
us_index,2026-08-10,美股医疗保健XLV,XLV,168.44,1.67,美股收盘(回填历史)
index,2026-08-10,十年国债收益率,十年国债收益率,1.7074,0,回填历史
index,2026-08-11,上证指数,000001,3958.29,-0.21,盘中13:45
index,2026-08-11,上证指数,000001,3934.09,-0.82,收盘20:00
index,2026-08-11,上证指数,000001,3934.09,-0.82,回填历史
index,2026-08-11,中证消费,000932,12817.01,-0.95,盘中13:45
index,2026-08-11,中证消费,000932,12791.82,-1.14,收盘20:00
index,2026-08-11,中证消费,000932,12791.82,-1.14,回填历史
index,2026-08-11,创业板指,399006,3583.22,1.3,盘中13:45
index,2026-08-11,创业板指,399006,3549.16,0.34,收盘20:00
index,2026-08-11,创业板指,399006,3549.16,0.34,回填历史
us_index,2026-08-11,美股道指DIA,DIA,537.28,-0.32,美股收盘(隔夜)
us_index,2026-08-11,美股道指DIA,DIA,537.28,-0.32,美股收盘(回填历史)
index,2026-08-11,恒生指数,HSI,25758.39,-0.69,盘中13:45
index,2026-08-11,恒生指数,HSI,25652.82,-1.1,收盘20:00
index,2026-08-11,恒生指数,HSI,25652.82,-1.1,回填历史
index,2026-08-11,恒生科技,HSTECH,4852.94,-1.35,盘中13:45
index,2026-08-11,恒生科技,HSTECH,4824.42,-1.93,收盘20:00
index,2026-08-11,恒生科技,HSTECH,4824.42,-1.93,回填历史
us_index,2026-08-11,美股医疗ETF(IYH),IYH,70.89,-0.35,美股收盘(隔夜)
us_index,2026-08-11,美股医疗ETF(IYH),IYH,70.89,-0.35,美股收盘(回填历史)
us_index,2026-08-11,美股纳指100QQQ,QQQ,718.45,-0.34,美股收盘(隔夜)
us_index,2026-08-11,美股纳指100QQQ,QQQ,718.45,-0.34,美股收盘(回填历史)
